scenario,representation,M,use_stats,avg_precision,avg_recall,avg_f1
2,raw,466,0,0.761962,1.000000,0.864902
2,raw,466,1,0.676839,0.774353,0.718950
2,re5,386,0,0.591158,0.939704,0.651999
2,re5,386,1,0.733448,0.752494,0.716899
2,re10,386,0,0.512580,0.908930,0.540171
2,re10,386,1,0.803791,0.930738,0.803068
2,re15,386,0,0.494869,0.959761,0.551528
2,re15,386,1,0.503396,0.740336,0.471339
3,raw,466,0,0.000000,0.000000,0.000000
3,raw,466,1,0.000000,0.000000,0.000000
3,re5,386,0,0.032687,0.200000,0.056191
3,re5,386,1,0.387649,0.153120,0.191910
3,re10,386,0,0.000000,0.000000,0.000000
3,re10,386,1,0.185813,0.198889,0.192129
3,re15,386,0,0.023784,0.200000,0.042513
3,re15,386,1,0.196653,0.190283,0.193416
